#Method,AppID,Placement,PrivateLabelID,ShopperID,ISC,displayCurrency,TransactionalCurrency
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,15932092,999COM25,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,25918019,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,44409529,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,16479129,999COM25,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,49078528,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,14796795,,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,45062264,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gofx2001hb,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,48435016,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,12525282,fbhost25,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,9831067,999COM25,usd,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,49717500,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,35356465,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,2754533,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53441037,gdbba1078,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnf4me24,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,44068608,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,47475449,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,10424291,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,3186443,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,GPPT02K030,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnf4mca04,CAD,CAD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,40808952,biud5nnj,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnn5ca07,CAD,CAD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,53557354,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,28310770,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,28738228,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,FBHPA65,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,50831602,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,5774879,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,52430509,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,3051030,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,47673897,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,25918019,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,cjcmsc001t,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,52870594,NC5D9B,GBP,GBP
GetOffersAndMessageData,46,dnsManagerCrossSell,1,47544156,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,53566449,lksgen057,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,18905514,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,11839296,gdbbc15,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,6468387,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,42300886,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,35356465,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,31873950,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gdx614m,BRL,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,2098437,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,16592875,bb51cd30,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,37284708,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,7043578,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,31526129,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,39379329,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gofx2001hb,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,44634736,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,25918019,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,35392488,999COM25,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,10424291,,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,51131840,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,29326715,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,50832253,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,50706370,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,34294863,,GBP,GBP
GetOffersAndMessageData,7,dccCrossSellBanner,1,35688767,gdbb1901,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,14885259,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,52584504,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,2098437,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gdbb687,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,10728365,cjc795dom,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,27468014,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,53560212,gdbbf805,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,35915765,cjcfat10,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,47544156,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,yrtd799l,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,24621032,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,2666079,999COM25,CAD,CAD
GetOffersAndMessageData,7,dccCrossSellBanner,1,22434273,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,53564922,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,46073665,999COM25,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,GPPT05K001,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,37163675,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,27468014,,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,52457716,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,999com25,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnf4ses05,EUR,EUR
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,38683878,gdbba531,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,53425261,bb5120d30,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,19377940,,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,42300886,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,34210874,lksgen104,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,35356465,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,51149553,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,387748,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,52907452,cjcmsc001t,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53551092,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53554724,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,42302686,999COM25,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,40611667,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnf4mca04,CAD,CAD
GetOffersAndMessageData,7,dccCrossSellBanner,1,39399098,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,50703814,gofx006hi,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,1188620,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,34210874,lksgen104,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,26705228,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,35356465,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,3704766,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,nc5pd17a,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,14796795,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,22039113,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,34294863,,GBP,GBP
GetOffersAndMessageData,7,dccCrossSellBanner,1,44098939,gdbba1463,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnf4eu15,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,35806281,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,22058912,,CAD,CAD
GetOffersAndMessageData,7,dccCrossSellBanner,1,7940691,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,13298231,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,37793164,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,12680569,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,26705228,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,23078324,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53399113,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnn5ca06,CAD,CAD
GetOffersAndMessageData,39,appRotatingBanner08,1,4962995,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,41882620,,USD,USD
GetOffersAndMessageData,14,appRotatingBanner09,1,3957183,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,3773903,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,52931921,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,45246304,gdbba1005,CAD,CAD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,34889350,,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,53552500,,CAD,CAD
GetOffersAndMessageData,39,appRotatingBanner08,1,13842926,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,40451908,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gooycpa23b,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,35035493,gdbbe729,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,24088689,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,53533362,GPPT02K001,USD,USD
GetOffersAndMessageData,14,appRotatingBanner09,1,8385726,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,40093459,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,17983424,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,18726583,999COM25,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,2501867,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,12792470,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnn5sg01,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,51343294,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,15979290,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,15581892,gdbba776,CAD,CAD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,13777589,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,52367480,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,37483177,gdbbh1030,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,17983424,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,45511290,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,43518947,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,16666715,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,39703753,cjc749b009,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,37424201,gppt02k022,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerSidebar,1,38155514,gsfnica03,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,26652208,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,19251758,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,46120287,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,41215453,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,52792752,,CAD,CAD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,47211073,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,37575054,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,50131999,FB30TLD,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,40803071,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,9713967,bb50dd15,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,3773903,,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,39996308,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,33988242,gsndpt01,EUR,EUR
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,52938900,NC5D21,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,40084452,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnf4in02,INR,INR
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,40455812,gdbbe729,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,44799589,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,47310056,wwbb55,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,17983424,,USD,USD
GetOffersAndMessageData,14,appRotatingBanner09,1,32183540,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,4659916,,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,53554133,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,15271407,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,33577197,999COM25,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,52338745,gdbb1901,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,37189893,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,12084215,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnf4in07,INR,INR
GetOffersAndMessageData,7,dccCrossSellBanner,1,41215453,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,TC25C,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerSidebar,1,13779046,999com25,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnf4me16,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gcapp0712a,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,34663678,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,15979290,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,35553587,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,53566075,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,49538568,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,24142498,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,52792752,,CAD,CAD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53565632,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,49374068,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,cjcmsc001t,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,35035493,gdbbe729,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,25533973,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,912702,gofx2005hd,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,39399098,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gofxms201h,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,38404661,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,46120287,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,41598895,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,28123397,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,16666715,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,16219690,,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,44608099,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,iapcl2,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnn4it01,EUR,EUR
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,52571062,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,17983424,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,4659916,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,GPPT02K030,CAD,CAD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53556685,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,vibdom72,USD,USD
